model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_score_mean,brier_score_std
reduced_gradient_boosted_trees,0.8905961093394132,0.0054509901785335995,0.5313626474978591,0.006789665739386156,0.13121862714005894,0.0011802399451006724
reduced_logistic_lasso,0.8883025727070372,0.0037890038337801786,0.5137508014417135,0.005592926911875005,0.13206175069188314,0.0013744166620666533
reduced_logistic_elastic_net,0.8882919357824498,0.0036863673064917706,0.5134037704070834,0.00573256780015549,0.1326802583132065,0.0013227326990415608
reduced_logistic_baseline,0.8875674556331921,0.004123762893206534,0.5121582419926571,0.005791798691137945,0.1319284060925125,0.0013039362938161566
reduced_random_forest,0.887213999857148,0.005389294247355237,0.5169285930964531,0.008298358495787849,0.07469396986960927,0.0008407177607733043
