model,fold,threshold,accuracy,sensitivity_recall,specificity,precision,f1,tn,fp,fn,tp
tuned_logistic_elastic_net,1,0.1,0.1290075918946966,0.9974715549936789,0.04687032940754469,0.09006335254837053,0.16520965293409412,784,15943,4,1578
tuned_logistic_elastic_net,1,0.2,0.29013053689442353,0.9740834386852086,0.22544389310695284,0.10629785472856453,0.19167858697680204,3771,12956,41,1541
tuned_logistic_elastic_net,1,0.3,0.4783986017805451,0.9178255372945638,0.43683864410832784,0.1335540838852097,0.23317809539103904,7307,9420,130,1452
tuned_logistic_elastic_net,1,0.5,0.7574416953410891,0.6915297092288243,0.7636754947091529,0.21676243312859125,0.3300648664957007,12774,3953,488,1094
tuned_logistic_elastic_net,2,0.1,0.13856573269976513,0.995575221238938,0.057511807257727025,0.09083044982698962,0.16647288870098298,962,15765,7,1575
tuned_logistic_elastic_net,2,0.2,0.3070074826588017,0.9702907711757269,0.24427572188676988,0.10828160270880362,0.19482167787790328,4086,12641,47,1535
tuned_logistic_elastic_net,2,0.3,0.4874105631110383,0.8982300884955752,0.44855622646021404,0.13348990136214184,0.23243641122106812,7503,9224,161,1421
tuned_logistic_elastic_net,2,0.5,0.7591348517122727,0.6624525916561315,0.7682788306331082,0.21283509341998375,0.3221641561635413,12851,3876,534,1048
tuned_logistic_elastic_net,3,0.1,0.13354088153367197,0.9949431099873578,0.052071501165779875,0.09030407343660356,0.16557963391542183,871,15856,8,1574
tuned_logistic_elastic_net,3,0.2,0.2999071494893222,0.9671302149178256,0.23680277395827107,0.1070229434806939,0.19271948608137046,3961,12766,52,1530
tuned_logistic_elastic_net,3,0.3,0.48861215795510404,0.9102402022756005,0.448735577210498,0.13507175687083764,0.23523646165155598,7506,9221,142,1440
tuned_logistic_elastic_net,3,0.5,0.7673821617783604,0.6801517067003793,0.775632211394751,0.22282045972250983,0.3356730619248167,12974,3753,506,1076
tuned_logistic_elastic_net,4,0.1,0.13529604544461438,0.9962073324905183,0.053868229104388377,0.09056950749956899,0.16604330190170152,901,15825,6,1576
tuned_logistic_elastic_net,4,0.2,0.3056041074939917,0.9589127686472819,0.24381202917613295,0.10709495234733499,0.1926716199911094,4078,12648,65,1517
tuned_logistic_elastic_net,4,0.3,0.486508630107057,0.8963337547408344,0.4477460241540117,0.1330830595964336,0.23175614938301872,7489,9237,164,1418
tuned_logistic_elastic_net,4,0.5,0.755298230281844,0.6643489254108723,0.7639005141695564,0.2102,0.3193558189000304,12777,3949,531,1051
tuned_logistic_elastic_net,5,0.1,0.13447673148350447,0.9981024667931688,0.05284868775034376,0.09058033407955915,0.1660877802336596,884,15843,3,1578
tuned_logistic_elastic_net,5,0.2,0.29347826086956524,0.9690069576217584,0.22962874394691218,0.10625606880288528,0.19151196949809363,3841,12886,49,1532
tuned_logistic_elastic_net,5,0.3,0.4800087393489185,0.9032258064516129,0.4400071740300114,0.13228346456692913,0.23076923076923078,7360,9367,153,1428
tuned_logistic_elastic_net,5,0.5,0.7524579418833297,0.6799493991144845,0.7593112931189095,0.21074299157028034,0.3217599521101467,12701,4026,506,1075
tuned_logistic_lasso,1,0.1,0.12862526626249385,0.9974715549936789,0.046451844323548756,0.09002738475581926,0.165149136577708,777,15950,4,1578
tuned_logistic_lasso,1,0.2,0.2893112676825605,0.9740834386852086,0.22454713935553297,0.10618798235942668,0.19149993786504288,3756,12971,41,1541
tuned_logistic_lasso,1,0.3,0.47828936588563004,0.9184576485461441,0.4366592933580439,0.1335969106289077,0.2332637662546155,7304,9423,129,1453
tuned_logistic_lasso,1,0.5,0.7577147850783768,0.690897597977244,0.7640341962097208,0.21686507936507937,0.33011174871639987,12780,3947,489,1093
tuned_logistic_lasso,2,0.1,0.1388388224370528,0.995575221238938,0.05781072517486698,0.09085664839919239,0.16651688957022784,967,15760,7,1575
tuned_logistic_lasso,2,0.2,0.30728057239608936,0.9702907711757269,0.24457463980390984,0.10831980805871146,0.19488351425125372,4091,12636,47,1535
tuned_logistic_lasso,2,0.3,0.4883936861652739,0.8982300884955752,0.44963233096191785,0.13371600639879552,0.2327790973871734,7521,9206,161,1421
tuned_logistic_lasso,2,0.5,0.7592987055546453,0.6637168141592921,0.7683386142165362,0.2131979695431472,0.3227293683725219,12852,3875,532,1050
tuned_logistic_lasso,3,0.1,0.13365011742858704,0.9949431099873578,0.05219106833263586,0.09031443653890292,0.16559705418200946,873,15854,8,1574
tuned_logistic_lasso,3,0.2,0.2999617674367797,0.9671302149178256,0.23686255754169905,0.10703043022035677,0.19273162436228505,3962,12765,52,1530
tuned_logistic_lasso,3,0.3,0.4885575400076465,0.9102402022756005,0.44867579362707,0.13505908835115363,0.23521724926494608,7505,9222,142,1440
tuned_logistic_lasso,3,0.5,0.7673275438309028,0.6814159292035398,0.7754528606444671,0.2230037236243277,0.3360349127182045,12971,3756,504,1078
tuned_logistic_lasso,4,0.1,0.13447673148350447,0.9962073324905183,0.052971421738610545,0.09049150206706477,0.16591220128434572,886,15840,6,1576
tuned_logistic_lasso,4,0.2,0.3050578981865851,0.9595448798988622,0.24315437044122923,0.10707483952881428,0.19265181800875691,4067,12659,64,1518
tuned_logistic_lasso,4,0.3,0.48579855800742844,0.8963337547408344,0.44696879110367094,0.13292088488938883,0.23151020408163264,7476,9250,164,1418
tuned_logistic_lasso,4,0.5,0.7554074721433254,0.6649810366624526,0.7639603013272749,0.2104,0.31965967790945,12778,3948,530,1052
tuned_logistic_lasso,5,0.1,0.13518680358313306,0.9981024667931688,0.05362587433490763,0.09064797794117647,0.16620148507030386,897,15830,3,1578
tuned_logistic_lasso,5,0.2,0.2950076469303037,0.9690069576217584,0.2313026842828959,0.1064628214037526,0.19184772399974956,3869,12858,49,1532
tuned_logistic_lasso,5,0.3,0.48077343237928777,0.9038583175205566,0.4407843606145752,0.13252341648891774,0.23115496603041086,7373,9354,152,1429
tuned_logistic_lasso,5,0.5,0.7525125628140703,0.6786843769765971,0.7594906438691935,0.21055729984301413,0.3214018271678898,12704,4023,508,1073
tuned_logistic_ridge,1,0.1,0.128843738052324,0.9974715549936789,0.04669097865726072,0.09004793426158411,0.16518371192295614,781,15946,4,1578
tuned_logistic_ridge,1,0.2,0.28958435741984817,0.9740834386852086,0.22484605727267293,0.10622458123664438,0.19155945055628068,3761,12966,41,1541
tuned_logistic_ridge,1,0.3,0.47828936588563004,0.9178255372945638,0.4367190769414719,0.13352951995585802,0.23314065510597304,7305,9422,130,1452
tuned_logistic_ridge,1,0.5,0.7577147850783768,0.6915297092288243,0.7639744126262928,0.21697738992463309,0.3303140096618358,12779,3948,488,1094
tuned_logistic_ridge,2,0.1,0.13878420448959528,0.995575221238938,0.05775094159143899,0.09085140747577296,0.1665080875356803,966,15761,7,1575
tuned_logistic_ridge,2,0.2,0.3071713365011743,0.9702907711757269,0.24445507263705388,0.10830452268397657,0.194858774992066,4089,12638,47,1535
tuned_logistic_ridge,2,0.3,0.48801136053307115,0.8982300884955752,0.4492138458779219,0.1336279857062253,0.23264571054354943,7514,9213,161,1421
tuned_logistic_ridge,2,0.5,0.7594079414495604,0.6637168141592921,0.7684581813833922,0.21328458257160268,0.3228285933897002,12854,3873,532,1050
tuned_logistic_ridge,3,0.1,0.13354088153367197,0.9949431099873578,0.052071501165779875,0.09030407343660356,0.16557963391542183,871,15856,8,1574
tuned_logistic_ridge,3,0.2,0.29968867769949203,0.9671302149178256,0.2365636396245591,0.106993006993007,0.19267094824329428,3957,12770,52,1530
tuned_logistic_ridge,3,0.3,0.4885575400076465,0.9102402022756005,0.44867579362707,0.13505908835115363,0.23521724926494608,7505,9222,142,1440
tuned_logistic_ridge,3,0.5,0.7673821617783604,0.6814159292035398,0.775512644227895,0.22304986550796607,0.336087295401403,12972,3755,504,1078
tuned_logistic_ridge,4,0.1,0.13589687568276163,0.9962073324905183,0.05452588783929212,0.09062679700977573,0.16613957410921357,912,15814,6,1576
