transformed_feature,coefficient,raw_feature,abs_coefficient
hospital_id_194.0,-0.014916559566741478,hospital_id,0.014916559566741478
apache_3j_diagnosis_406.04,-0.014853173517214718,apache_3j_diagnosis,0.014853173517214718
gender_missing,-0.014838697158094638,gender,0.014838697158094638
apache_3j_diagnosis_109.15,-0.014798029287182582,apache_3j_diagnosis,0.014798029287182582
apache_3j_diagnosis_802.02,-0.014794196044879691,apache_3j_diagnosis,0.014794196044879691
apache_3j_diagnosis_1304.04,-0.014758326357841604,apache_3j_diagnosis,0.014758326357841604
icu_id_431.0,-0.014737548098422879,icu_id,0.014737548098422879
apache_3j_diagnosis_313.02,-0.01469797547117014,apache_3j_diagnosis,0.01469797547117014
icu_id_114.0,0.014610579336494059,icu_id,0.014610579336494059
bilirubin_apache,0.014560318473582409,bilirubin_apache,0.014560318473582409
icu_id_120.0,-0.014464632341527875,icu_id,0.014464632341527875
hospital_id_113.0,-0.014464632341527875,hospital_id,0.014464632341527875
apache_3j_diagnosis_307.02,0.014457539157816838,apache_3j_diagnosis,0.014457539157816838
apache_3j_diagnosis_1902.04,-0.0144031702253094,apache_3j_diagnosis,0.0144031702253094
missingindicator_h1_arterial_po2_min,-0.01434691023193263,h1_arterial_po2_min,0.01434691023193263
missingindicator_h1_arterial_po2_max,-0.01434691023193263,h1_arterial_po2_max,0.01434691023193263
h1_diasbp_max,0.014289755414485442,h1_diasbp_max,0.014289755414485442
apache_3j_diagnosis_604.03,0.014259438580615798,apache_3j_diagnosis,0.014259438580615798
apache_3j_diagnosis_602.19,0.01422916677312518,apache_3j_diagnosis,0.01422916677312518
d1_mbp_invasive_max,-0.014084418064673474,d1_mbp_invasive_max,0.014084418064673474
apache_3j_diagnosis_1602.04,-0.013979631197901573,apache_3j_diagnosis,0.013979631197901573
apache_3j_diagnosis_1703.05,-0.013974697060316846,apache_3j_diagnosis,0.013974697060316846
apache_3j_diagnosis_1801.02,-0.013955298824682104,apache_3j_diagnosis,0.013955298824682104
apache_3j_diagnosis_211.04,-0.013896050788918665,apache_3j_diagnosis,0.013896050788918665
apache_3j_diagnosis_101.02,0.013745051203688326,apache_3j_diagnosis,0.013745051203688326
d1_sysbp_invasive_min,-0.013689218593564935,d1_sysbp_invasive_min,0.013689218593564935
