model,raw_feature,importance_mean,importance_std
logistic_elastic_net,age,0.025097748392330477,0.003658010692761504
logistic_elastic_net,d1_heartrate_max,0.011214268554537332,7.784059737803162e-05
logistic_elastic_net,ventilated_apache,0.006348112104386849,0.001100710811486938
logistic_elastic_net,d1_sodium_min,0.0063364235801799396,0.0007120052086053708
logistic_elastic_net,d1_hematocrit_min,0.006293399863418203,0.0011589047405173303
logistic_elastic_net,d1_bun_min,0.006283949567250924,0.0008783801595508289
logistic_elastic_net,d1_wbc_min,0.0060357549468569305,0.0003715458545778816
logistic_elastic_net,d1_creatinine_max,0.005753738213864157,0.0008848461516652861
logistic_elastic_net,d1_hemaglobin_min,0.004573445960968148,0.0009818360333823661
logistic_elastic_net,d1_lactate_min,0.0045488254525323235,0.00011514439803850252
logistic_elastic_net,apache_2_diagnosis,0.0041404731813027285,0.0006194917829674962
logistic_elastic_net,gcs_motor_apache,0.003966637470225187,0.00031185977352121697
logistic_elastic_net,d1_platelets_min,0.003947488185886194,2.0144052356618758e-05
logistic_elastic_net,apache_3j_diagnosis,0.0036711913689946307,0.00012733030625422526
logistic_elastic_net,d1_hemaglobin_max,0.003602801067783823,0.0010775824550775526
logistic_elastic_net,d1_spo2_min,0.003071346254374996,0.0005118081450610212
logistic_elastic_net,hospital_id,0.002764460320941853,0.00036458247845455594
logistic_elastic_net,bun_apache,0.0025413835929923856,0.00010270979781834555
logistic_elastic_net,weight,0.0021735681184806843,0.0005834314423290854
logistic_elastic_net,icu_id,0.0021186071855077704,0.0002181028878613378
logistic_elastic_net,solid_tumor_with_metastasis,0.0021016961292082414,0.00017085140702471913
logistic_elastic_net,d1_platelets_max,0.001971878902910007,8.181966944847963e-05
logistic_elastic_net,h1_sysbp_noninvasive_min,0.0019164205859281136,2.4869200440313932e-05
logistic_elastic_net,resprate_apache,0.0017378597267668772,0.0009445322327220618
logistic_elastic_net,elective_surgery,0.001667977273529797,0.0010382891183817189
logistic_elastic_net,urineoutput_apache,0.0014931467944345744,0.00010992186594593889
logistic_elastic_net,h1_arterial_ph_min,0.001366811256197864,0.00011837739409570336
logistic_elastic_net,apache_2_bodysystem,0.0013359734476519614,0.0006590338116674865
logistic_elastic_net,icu_admit_source,0.0013155807032909639,0.0009340871685371566
logistic_elastic_net,gcs_eyes_apache,0.0012864837387758232,0.0005990990386064432
logistic_elastic_net,d1_temp_min,0.001241967869987648,0.0005336930414485686
logistic_elastic_net,apache_3j_bodysystem,0.0012215751256265395,0.000109424481937348
logistic_elastic_net,h1_calcium_min,0.0011780540248560456,0.0002877366490942057
logistic_elastic_net,h1_arterial_po2_max,0.0011591534325216535,0.0001226051581705856
logistic_elastic_net,h1_arterial_pco2_min,0.0011283156239756953,9.276211764225328e-05
